id,scale,region,locality,supply,population,bidding_units,opening_price,expected_value,sd_value_narrow,sd_value_wide,is_high_demand,,,,,,,,,,
1,small,1,1,2,2000000,800,1700000,8533614,170672,2844538,1,,,,,,,,,,
2,small,1,1,2,500000,200,425000,1857236,37145,619079,0,,,,,,,,,,
3,small,1,2,2,100000,40,85000,316228,6325,105409,0,,,,,,,,,,
4,small,1,2,2,25000,10,21250,68823,1376,22941,0,,,,,,,,,,
5,small,1,3,2,5000,2,4250,11718,234,3906,0,,,,,,,,,,
6,small,2,4,2,1000000,400,850000,3981072,79621,1327024,1,,,,,,,,,,
7,small,2,4,2,12500,5,10625,32107,642,10702,0,,,,,,,,,,
8,small,2,5,2,250000,100,212500,866431,17329,288810,0,,,,,,,,,,
9,small,2,5,2,2500,1,2125,5467,109,1822,0,,,,,,,,,,
10,small,2,6,2,50000,20,42500,147525,2951,49175,0,,,,,,,,,,
11,biregional,FW,2,5,19410169,20000,100000000,399669136,7136570,133223045,1,,,,,,,,,,
12,biregional,FW,3,10,9027937,9500,47500000,154402447,4691805,51467482,1,,,,,,,,,,
13,biregional,FW,8,10,3792218,4000,20000000,40187491,966761,13395830,1,,,,,,,,,,
14,biregional,FW,2,4,3095313,3300,16500000,37945235,912821,12648412,1,,,,,,,,,,
15,biregional,FW,6,10,3022643,2500,12500000,25252960,687006,8417653,1,,,,,,,,,,
16,biregional,RM,2,10,2789669,2300,11500000,25162213,764601,8387404,1,,,,,,,,,,
17,biregional,FW,3,10,2722415,2200,11000000,22232121,675564,7410707,1,,,,,,,,,,
18,biregional,FW,5,10,2151455,1800,9000000,18654984,276166,6218328,1,,,,,,,,,,
19,biregional,RM,8,10,2142152,1800,9000000,18692166,333771,6230722,1,,,,,,,,,,
20,biregional,FW,2,10,1676476,920,4600000,10892761,161255,3630920,1,,,,,,,,,,
21,biregional,FW,4,10,1360301,500,2500000,9957663,177806,3319221,0,,,,,,,,,,
22,biregional,FW,6,10,859318,150,750000,2213138,53240,737713,0,,,,,,,,,,
23,biregional,FW,3,10,786501,180,900000,3078769,64470,1026256,0,,,,,,,,,,
24,biregional,RM,2,10,645613,440,2200000,3901318,81694,1300439,0,,,,,,,,,,
